StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KY,Breathitt,21025,13351,1695.5769999999998,3204.2400000000002,3965.2470000000003,2122.809,4339.075,5794.334000000001
KY,Breckinridge,21027,20943,2680.704,5445.18,5780.268000000001,3644.0819999999994,7518.536999999999,8460.972
KY,Bullitt,21029,83836,12072.384000000002,16096.512,21713.524,10814.844000000001,21378.18,32276.86
KY,Butler,21031,12295,1573.76,2704.9,3491.78,1918.02,3860.63,5336.03
KY,Caldwell,21033,12570,1596.39,2476.29,3293.34,1860.3600000000001,3569.88,4776.6
KY,Calloway,21035,37685,5313.585,5728.12,10777.91,4672.9400000000005,9685.045,14546.41
KY,Campbell,21037,93300,15301.199999999997,14181.6,23698.2,11196.0,20339.4,33401.399999999994
KY,Carlisle,21039,4720,599.44,986.48,1279.1200000000001,726.88,1420.72,1916.32
KY,Carroll,21041,10938,1509.444,2406.36,3062.64,1640.7,3368.9040000000005,4429.89
KY,Carter,21043,26395,3378.56,5569.345,7469.785,4223.2,7971.29,11297.06
KY,Casey,21045,15920,1926.32,4155.12,4728.24,2865.6,5890.400000000001,6622.72
KY,Christian,21047,73037,10809.476,14096.141000000001,19573.916,9202.662,20669.471,28849.615
KY,Clark,21049,37061,5447.967,7115.7119999999995,9932.348,5188.54,9895.287,14898.522000000003
KY,Clay,21051,19913,2568.777,5376.51,5794.683000000001,3245.8190000000004,7009.376000000001,8741.806999999999
KY,Clinton,21053,9123,1149.498,1997.937,2627.4240000000004,1496.1719999999998,2800.761,3612.708
KY,Crittenden,21055,8981,1140.587,1760.276,2460.794,1383.074,2640.4139999999998,3673.229
KY,Cumberland,21057,5946,689.7359999999999,1373.526,1641.096,1064.334,2009.7479999999998,2568.672
KY,Daviess,21059,103222,13831.748000000001,19096.07,29005.382,13728.526000000002,26011.944,36540.587999999996
KY,Edmonson,21061,12269,1545.894,2772.7940000000003,3435.32,1913.964,3889.273,5263.401
KY,Elliott,21063,7293,955.383,1670.0969999999998,1998.282,1217.931,2355.6389999999997,3099.525
KY,Estill,21065,14044,1755.5,3553.132,4016.5840000000003,2317.26,4690.696,6038.92
KY,Fayette,21067,320347,49653.785,49333.438,81688.485,37160.252,72398.422,107956.93900000001
KY,Fleming,21069,15288,1941.5759999999998,3577.392,4295.928000000001,2415.5040000000004,4968.6,6283.368
KY,Floyd,21071,34978,4232.338,7765.116,10563.355999999998,5491.546,10983.092,14026.178
KY,Franklin,21073,51607,7018.552,8050.692,13262.999,6760.517,12179.252000000002,19352.625
KY,Fulton,21075,6382,733.9300000000001,1652.9379999999999,1735.904,1199.816,2361.34,2865.518
KY,Gallatin,21077,8763,1261.872,1761.3630000000003,2444.877,1200.531,2497.455,3575.3039999999996
KY,Garrard,21079,17589,2268.981,3658.512,4960.098,2743.8839999999996,5259.111,7070.778
KY,Grant,21081,25502,3672.288,5355.42,6987.548,3213.2520000000004,7395.58,9665.258
KY,Graves,21083,36412,4660.736000000001,7173.164000000001,9867.652,5352.564,10960.012,14746.86
KY,Grayson,21085,26631,3541.9230000000007,5672.403,7190.37,4101.174,8335.503,11398.067999999997
KY,Green,21087,11365,1352.435,2852.6150000000002,3273.12,1966.145,4091.4,4818.76
KY,Greenup,21089,35403,4921.017,6726.57,9629.616,5345.852999999999,10125.258,15471.111
KY,Hancock,21091,9021,1253.919,1614.759,2390.565,1226.856,2345.46,3455.043
KY,Hardin,21093,111862,15436.956000000002,19575.850000000002,29307.844,15101.37,28860.396,43738.042
KY,Harlan,21095,25662,2976.7920000000004,6980.064,7801.248,4593.498,9494.94,11547.9
KY,Harrison,21097,19103,2598.008,3705.9819999999995,5100.501,2636.2140000000004,5387.046,7622.097
KY,Hart,21099,19600,2430.4,4762.8,5644.8,3214.4,6526.8,7585.2
KY,Henderson,21101,44046,5902.164000000001,7179.4980000000005,11540.052,5902.164000000001,11584.098,17706.492000000002
KY,Henry,21103,15771,2097.543,3264.597,4242.398999999999,2444.505,4810.155,6481.881
KY,Hickman,21105,4422,530.64,787.1160000000001,1136.454,707.52,1264.6920000000002,1777.6440000000002
KY,Hopkins,21107,44812,5959.996,9948.264000000001,12457.736,7214.732000000001,14160.592,18417.732
KY,Jackson,21109,12973,1647.571,3710.2780000000007,3904.8730000000005,2231.3559999999998,4748.118,5513.525000000001
KY,Jefferson,21111,773399,114463.05200000001,126837.436,193349.75,104408.865,191802.952,286157.63
KY,Jessamine,21113,54254,7758.322000000001,7921.084000000001,14268.802,6564.734,12261.404000000002,19856.964000000004
KY,Johnson,21115,22244,2713.768,5716.708,6606.468,3625.7720000000004,7607.448,9453.7
KY,Kenton,21117,170313,27590.706000000002,26228.202,44792.319,19926.621,38320.425,59098.611000000004
