cbsacode,year,gdp
13300.0,2013,982248.0
13300.0,2014,974557.0
13300.0,2015,816570.0
13300.0,2016,752660.0
13300.0,2017,734739.0
13300.0,2018,754302.0
13300.0,2019,781378.0
13300.0,2020,755673.0
13300.0,2021,765985.0
13300.0,2022,924568.0
13340.0,2011,1755296.0
13340.0,2012,1867275.0
13340.0,2013,1953865.0
13340.0,2014,2018575.0
13340.0,2015,1900625.0
13340.0,2016,1935356.0
13340.0,2017,2041373.0
13340.0,2018,2105803.0
13340.0,2019,2096464.0
13340.0,2020,1950673.0
13340.0,2021,2189326.0
13340.0,2022,2480832.0
13380.0,2011,9326570.0
13380.0,2012,9598047.0
13380.0,2013,9561665.0
13380.0,2014,9800140.0
13380.0,2015,10213259.0
13380.0,2016,10621273.0
13380.0,2017,11651236.0
13380.0,2018,13424805.0
13380.0,2019,14306280.0
13380.0,2020,13879356.0
13380.0,2021,17200062.0
13380.0,2022,21231134.0
13420.0,2011,1321877.0
13420.0,2012,1397105.0
13420.0,2013,1448645.0
13420.0,2014,1531584.0
13420.0,2015,1597272.0
13420.0,2016,1722650.0
13420.0,2017,1683816.0
13420.0,2018,1804546.0
13420.0,2019,1881445.0
13420.0,2020,1951917.0
13420.0,2021,2122768.0
13420.0,2022,2238434.0
13460.0,2011,6545479.0
13460.0,2012,6852864.0
13460.0,2013,7350101.0
13460.0,2014,8165388.0
13460.0,2015,8956662.0
13460.0,2016,9936746.0
13460.0,2017,10974146.0
13460.0,2018,11637812.0
13460.0,2019,12592913.0
13460.0,2020,12916877.0
13460.0,2021,14793366.0
13460.0,2022,16494532.0
13540.0,2011,1546335.0
13540.0,2012,1556520.0
13540.0,2013,1562203.0
13540.0,2014,1551118.0
13540.0,2015,1591337.0
13540.0,2016,1670512.0
13540.0,2017,1687136.0
13540.0,2018,1734860.0
13540.0,2019,1794985.0
13540.0,2020,1741621.0
13540.0,2021,1905268.0
13540.0,2022,2080005.0
13660.0,2011,1148661.0
13660.0,2012,1075054.0
13660.0,2013,1124107.0
13660.0,2014,1166045.0
13660.0,2015,1225648.0
