CBSA Code,Num_Parks,Park_Area_Acres,Num_County,Num_Urban_Area,County_FIPS,Weighted_RESP,Weighted_UHI
31140,298,23793.51305,10,8,"21111, 18019, 18043, 21029, 21185, 18061, 18175, 21179, 21163, 21211",0.30098235,0.577851925
31180,115,3683.165663,4,7,"48303, 48219, 48305, 48169",0.2,-0.175357429
31220,9,180.1080325,1,1,26105,0.142359795,0.487693598
31260,22,1700.981095,1,2,48005,0.381953168,0.182717497
31300,31,684.8362336,1,7,37155,0.314181231,0.208730704
31340,46,9955.943947,4,4,"51019, 51680, 51009, 51031",0.300570981,0.025967873
31380,10,304.9505463,1,2,17109,0.2,0.52844501
31420,47,2201.680948,3,3,"13021, 13169, 13207",0.495603632,0.050798742
31500,8,1464.969015,1,1,18077,0.3,-0.122476088
31540,827,24676.3294,4,16,"55025, 55021, 55045, 55049",0.200069692,0.802515612
31580,10,369.6409322,1,1,21107,0.3,0.572717722
31620,6,72.38550065,1,1,5027,0.4,-0.050376724
31680,4,57.59118743,1,1,5059,0.496831138,0.633522435
31700,165,5620.123098,1,5,33011,0.211720659,-0.015478952
31740,46,2363.3924,3,4,"20149, 20061, 20161",0.351435254,0.192681996
31820,61,3765.494063,1,2,55071,0.207964718,0.399503601
31860,78,1924.690434,2,3,"27013, 27103",0.203453701,0.178688079
31900,35,532.1303131,1,2,39139,0.2,0.305775558
31930,16,337.5800073,1,3,39167,0.300651406,0.581804795
31940,39,141582.4604,2,3,"55075, 26109",0.190701726,0.668406727
31980,15,178.0678384,1,3,18053,0.2,1.169606773
32000,9,50.84125684,1,1,37111,0.3,0.214755306
32020,7,232.3409971,1,1,39101,0.2,0.921836518
32060,18,276.7997982,1,2,17199,0.3,0.977133385
32100,30,278467.3265,1,2,26103,0.105388423,0.542917109
32140,11,195.8690255,1,1,27083,0.196634565,-0.949513926
32180,1,131.8607726,1,1,29195,0.290860295,-0.70751319
32260,23,299.3060711,1,2,19127,0.2,0.658380569
32280,6,145.4947313,1,1,47183,0.3,-0.020360766
32300,15,745.7635048,2,1,"51089, 51690",0.3,0.143326146
32340,12,93.32343509,1,1,29147,0.2,0.636057789
32380,48,1198.44734,1,2,19033,0.220366031,1.252457167
32390,35,170.177423,1,5,36089,0.192498741,0.628579389
32420,101,489.0426564,6,4,"72023, 72097, 72125, 72121, 72079, 72067",0.205501881,0.2012593
32460,5,73.22191327,1,1,21083,0.3,-0.38846572
32540,14,67.0390861,1,2,40121,0.3,0.483528079
32580,190,3366.170394,1,4,48215,0.200395986,0.098731302
32620,7,108.2552097,1,1,28113,0.386105094,0.141334277
32660,6,58.1224917,1,1,47177,0.3,0.138577452
32700,17,200.1219217,1,2,20113,0.2,0.016401986
32740,393,52742.21115,1,9,42039,0.201971058,0.114424548
32780,133,9501.109124,1,3,41029,0.296953999,-0.322260511
32820,384,16314.86293,7,7,"47157, 28033, 05035, 28093, 47167, 28137, 28143",0.314621837,0.125143544
32860,24,1012.670158,1,1,55033,0.2,0.587682831
32900,108,738.0018893,1,6,6047,0.294750838,0.308043909
32940,8,4629.071317,1,1,28075,0.456200211,-0.259875746
33020,16,477.9178307,1,2,29007,0.216036149,0.318492147
33060,14,101.4953532,1,1,40115,0.3,0.404935269
33100,2195,174375.1324,3,5,"12086, 12099, 12011",0.251442568,0.481715646
33140,33,816.6732709,1,3,18091,0.2,0.310272078
33180,4,25.01103209,1,1,21013,0.3,-0.049890943
33220,79,2132.488753,1,1,26111,0.237613284,-0.106981852
33260,58,1361.897373,1,1,48329,0.21093363,-0.029396251
33300,10,2460.888245,1,1,13009,0.425466831,0.886457813
33340,824,35935.96516,4,5,"55079, 55133, 55089, 55131",0.200898212,0.279420671
33380,19,1207.438824,1,2,22119,0.405590747,0.119310348
33420,21,1976.576313,1,2,48363,0.225223069,0.856585449
