adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.256,0.37,241.8,0.1962587345,6147,0.2188059216,0.113,0.248,775,260.0,317.0,37,53638.0,1410.0,76.446952936,1192,2198,694.611,2274.39,1573.632,1206.4024409715,1524.456,469919.41969759203
0.172,0.289,341.5,0.2129476275,8405,0.2042831648,0.083,0.201,1802,285.0,359.0,210,79363.0,2984.0,80.913571449,1436,2220,697.615,2429.0449999999996,1445.6599999999999,1789.8248091374999,1689.4050000000002,680078.568028845
0.168,0.307,,0.2238148783,1179,0.155216285,0.076,0.202,249,130.0,39.0,1,78421.0,320.0,,183,2230,89.604,361.953,198.072,263.8777415157,238.15800000000002,
0.209,0.323,159.6,0.2123955319,6957,0.257294811,0.087,0.23,937,217.0,250.0,13,64544.0,1793.0,77.236080688,1112,2240,605.259,2247.111,1454.013,1477.6357154282998,1600.1100000000001,537331.413346416
0.171,0.307,423.8,0.2319759263,9346,0.2303659319,0.079,0.202,1678,395.0,427.0,22,,3186.0,78.045021011,1470,2261,738.3340000000001,2869.2219999999998,1598.1660000000002,2168.0470071997997,1887.892,729408.766368806
0.214,0.305,,0.2071792997,2510,0.1888446215,0.089,0.223,316,83.0,106.0,60,64643.0,704.0,79.212160921,650,2275,223.39,765.55,537.14,520.020042247,559.73,198822.52391171
0.225,0.335,863.6,0.2009485342,637,0.2072213501,0.108,0.23,137,22.0,7.0,2,68352.0,125.0,,127,2282,68.79599999999999,213.395,143.32500000000002,128.0042162854,146.51000000000002,
0.309,0.384,1491.4,0.204495028,5077,0.2802836321,0.136,0.274,574,280.0,543.0,10,43060.0,523.0,72.497379507,847,2290,690.4720000000001,1949.568,1568.793,1038.2212571559999,1391.0980000000002,368069.195757039
0.1562910521,0.319,591.6,0.173805594,7421401,0.2218480042,0.098,0.236,1209223,282069.0,428549.0,11215,64652.0,2369970.0,79.061023365,1373975,4000,727297.2980000001,2367426.919,1159898.570345992,1289881.009117194,1751450.636,586743557.8620343
0.239,0.369,760.9,0.1532443986,71875,0.2651130435,0.157,0.294,9255,2581.0,7354.0,75,36319.0,14458.0,70.134960561,11834,4001,11284.375,26521.875,17178.125,11014.441149375,21131.25,5040950.290321875
