cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper
36540.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.13484625422981367,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
37980.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.32160775393650987,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
38060.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,1.2278703500379748,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
38300.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.45309907968331764,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
38860.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.5936692843436386,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
38900.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.46591877182219754,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
39300.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.6730879649186061,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
39340.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.4557646839454907,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
39660.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.2719246098467547,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
39900.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7367129145416165,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
40060.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.014707670376022719,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
41180.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.8189133100899486,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
41620.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.14429621651782298,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
41700.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6384024160985646,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
42660.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.4599735936256355,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
43580.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.99947379463846,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
43620.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.37284319305843105,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
44060.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.07356807946653099,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
44140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.7024378354429057,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
45780.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.9967141103559989,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
45820.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.5735653206273454,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
46140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.11522818045343364,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
47260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.19673645544860463,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
48620.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.3323135987539718,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
49340.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.7773953641572398,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
10740.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.388476988289451,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
11260.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,1.5498848736511803,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12060.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6677525248049747,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12260.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.4329740735112608,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12420.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.20643889825639583,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12580.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.33255522483391786,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12940.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.1482236696655761,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13740.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.13055599982093824,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13820.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.08875511782047596,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13900.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.10533205755217523,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
14260.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6980647606613548,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
14460.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.1338269905636107,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
15540.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.0757934349196354,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16620.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.461149174920095,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16700.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.36463361602529787,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16740.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.1489661046102313,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16980.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.849966938093516,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
17140.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.19233896027997233,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
17820.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.6205913282187776,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
18140.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.2426009527559625,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19100.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.677757082297056,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19740.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.8124223310685448,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19780.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.10588227439293618,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19820.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.1601413394058664,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
20260.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7215622223656926,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
22020.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.2953501482851024,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
22220.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.7328454513413085,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
24340.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.21888992322808676,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
24860.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.7977500388346392,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
25180.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.6131566854292636,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
26420.0,2013.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7548799268578907,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
