Year,cbsacode,population,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia,depressed,no_time_activity
2011,19740.0,2441846.0,338546.24168,341368.010674,354189.20905,100189.747576,490901.0,104912.0,163378.0,1585.0,329346.0,903802.0,2059.3,917.0,147002657.0,107047.352,0.237676869,20875.52766453985,3416.445719278385,105.23922730058966,0.894522203311779,0.9070757375353597,0.8070833218103648,0.47764807762343686,413331.8316213741,289455.0
2011,19780.0,429439.0,67275.91374,86817.96487400001,64072.2988,25949.281014,90193.0,13725.999999999998,29298.000000000004,31.000000000000004,56979.99999999999,180921.0,465.2,145.0,35558978.0,25576.16004,0.201039671,5683.107365557927,1036.0705503956249,16.81298438851916,-0.6304245060344388,-0.5049930829535754,-0.5092714599326429,-0.5299124589218778,64158.18659999999,106604.0
2011,19820.0,3131356.0,501839.05139999994,728593.6994640001,410477.610288,256042.006512,549104.0,218480.0,307090.0,1371.0,110132.0,1109947.0,1280.5,523.0,204431264.0,65953.89217,0.202550223,31571.294386929138,5638.368273110151,73.23409170186135,2.7843485169668845,2.2641773425357177,2.2821403266639178,2.273922787924959,586974.1790240917,754286.0
2011,20100.0,157741.0,27137.76164,38228.846832,19232.413684,13450.890552,22170.0,5800.0,13659.0,28.0,55179.0,56270.0,617.7,223.0,6738419.0,958.1472845,0.214407187,587.3526605752004,19.548807160903134,0.6088262683534522,-0.8829964372116892,-0.7376035237962252,-0.7133387911275682,-0.711965023704645,23219.4752,32285.0
2011,21660.0,351109.0,52029.087165,72840.722031,48091.750839,19405.443321,51340.0,21761.0,22106.0,208.0,43614.0,110809.0,339.0,167.0,12171136.0,2337868.63,0.346132129,2717.402098990574,168.54657275854555,27.30691020712682,-0.7274433203935786,-0.5836440703873703,-0.5978190739110184,-0.6003894582292647,89603.0168,43481.0
2011,21820.0,98660.0,15842.8228,18617.142,15258.7556,3796.4368,18992.0,3348.0,6825.999999999999,23.0,65472.99999999999,34915.0,613.5,93.0,5805648.0,2113.883618,0.279356611,0.0,0.0,0.0,-0.9953686267593286,-0.8159301604203172,-0.8084543888220875,-0.8137553260683374,13032.986,15795.0
2011,22020.0,143339.0,20426.667534,30976.704612000005,26487.327132,7183.003968000001,30461.0,3601.0,7384.0,103.0,46942.0,65831.0,330.9,186.0,10795919.0,2628.993647,0.238122784,1909.38813948352,65.31266515509242,6.5908699333866245,-0.9446386412066954,-0.7746063465638326,-0.7731175933729215,-0.7661733453081853,29800.1781,34207.0
2011,22140.0,124131.0,22365.92358000001,24939.779865000004,11715.483780000002,7455.307860000001,15703.0,4337.0,12169.0,6.0,45971.0,42709.0,595.1,144.0,6601191.0,4318.081666,0.281296424,61.47837199188723,0.0,0.0,-0.9489445055582406,-0.7815379619498656,-0.7652942802635722,-0.7775837453845552,20692.637700000003,21145.0
2011,22660.0,298382.0,38560.502624,39971.25272,41617.127832,10815.750736,53153.0,11578.0,14561.0,188.0,56701.0,111359.0,263.3,108.0,12545315.0,1907304.698,0.192262287,1317.2462933232025,215.40978288145357,17.455239320421843,-0.8635736260814495,-0.6975962066041598,-0.6932902934731671,-0.7243718818587372,42638.78779999999,28501.0
2011,24260.0,57487.0,8161.199442000002,13148.599101000002,6800.999535000001,3668.417930999999,7230.0,1361.0,4939.0,12.0,46353.0,22883.0,244.7,163.0,3486296.0,335.7583563,0.2,627.6010482001305,98.48580742688368,18.571104184026083,-1.0255684898610702,-0.8521461149249362,-0.8336056090537597,-0.826392431350731,12319.4641,14301.0
2011,24340.0,608315.0,89371.20654000001,131348.59142999997,81697.92113,38817.79678,116015.0,34186.0,46350.0,248.0,50746.0,236478.0,559.0,182.0,46006711.0,25100.90362,0.202114018,5775.094485936182,906.5660234503688,15.403630842511337,-0.4298653250113041,-0.3384072547641461,-0.36016055243462103,-0.35438207903822727,131274.37699999998,157908.0
2011,24500.0,82178.0,11721.459030000002,15396.294833999998,10010.759604,5132.098278,13063.0,1975.0,5221.000000000001,8.0,42528.0,31786.0,415.7,162.0,3180591.0,1410.731111,0.207942948,76.59815987059707,4.666409088381597,0.9280774166380956,-1.0050357496979516,-0.835982471494848,-0.8133242553613483,-0.8125327249814501,18958.4646,16228.0
2011,24540.0,254759.0,33200.192879999995,44082.478324,30802.401172,10144.50338,44211.0,10400.0,15222.0,59.0,55845.0,93007.0,318.7,102.0,11239384.0,3731.330065,0.340778555,1294.3284105911175,187.62400878699057,11.411151992979722,-0.8735298594094961,-0.7056888918457147,-0.7144146895675428,-0.719584657861539,42748.56020000001,30098.0
2011,24660.0,480362.0,71376.98958,102124.000476,48682.767252000005,36603.5844,84949.0,26577.0,41057.0,143.0,47836.0,182257.0,432.4,97.0,36971732.0,13649.26537,0.35200973,4641.447652837657,322.26140377096107,10.879092174656234,-0.5392741791855019,-0.4588152210781162,-0.4308335438031974,-0.4313127586657961,71189.6484,135180.0
2011,24860.0,451428.0,69096.472536,87817.19169600001,46631.609544000006,30293.527368,73444.0,22947.0,33798.0,50.0,48147.0,164517.0,375.5,143.0,32961568.0,5125.857784,0.386921867,3282.6302764345846,346.59018785931465,22.770882420805364,-0.6021556775756794,-0.497053093287303,-0.4768181512374519,-0.5010682762146715,75614.19,159636.0
