cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
17140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.13842649270821106,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
17820,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6402114951364695,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
18140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.3864809419794675,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
19100,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.7161857967059166,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
19740,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5477640495589089,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
19780,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.13096488750924706,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
19820,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.09009398443751948,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
20260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.672034716243811,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
22020,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.3492353274763538,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
22220,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6107563622271712,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
24340,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6278792280573438,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
24860,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.2478276231247758,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
25180,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.9884025052945216,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
26420,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.664668546643572,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
26580,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.47559154189539044,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
26900,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.18165763242405397,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
28140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5748182621862163,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
